6f6c7b95-3879-4c59-9e1b-2557d5b0f122 200 ::ffff:127.0.0.1 GET /call-logs 46.311 [Thu, 21 Oct 2021 14:11:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
0598fbf3-c929-49e4-9dfa-81b5f88dc3f9 304 ::ffff:127.0.0.1 GET /call-logs 53.748 [Thu, 21 Oct 2021 14:11:50 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
13eac075-b212-40d1-85c9-c8e7ecfa62fb 304 ::1 GET /call-logs 42.950 [Thu, 21 Oct 2021 14:13:37 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
e349d2de-fbb6-4cd1-9ff2-4fd1396da918 304 ::1 GET /call-logs 44.241 [Thu, 21 Oct 2021 14:14:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
7d313619-ec15-4cf6-a7fd-25e70fb8cb01 200 ::ffff:127.0.0.1 GET /call-logs 45.334 [Thu, 21 Oct 2021 14:15:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
52f3578a-c83e-45f6-81f1-c41afeba3431 304 ::ffff:127.0.0.1 GET /call-logs 54.381 [Thu, 21 Oct 2021 14:16:36 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
fd28d880-5cbe-478b-97ea-1a90377341ee 200 ::1 GET /call-logs 40.128 [Thu, 21 Oct 2021 14:35:05 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
c6faba94-c4df-43d1-8c7d-ca55c837a86f 302 ::1 GET /logout 28.073 [Thu, 21 Oct 2021 14:51:19 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
60543841-f649-408e-af8c-4a2b0bacc59e 200 ::1 GET /login 33.098 [Thu, 21 Oct 2021 14:51:19 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
351aa719-4b9a-425e-9e57-9de575bdf2ab 302 ::1 POST /login 301.265 [Thu, 21 Oct 2021 14:51:26 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
cbbb69b6-90ea-4fa2-89ff-f3227747c06e 200 ::1 GET /admin/admin-dashboard 31.246 [Thu, 21 Oct 2021 14:51:26 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
3bdb67db-3b7e-49f4-80c5-82570f42cae9 200 ::1 GET /admin/create-user 58.640 [Thu, 21 Oct 2021 14:51:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
39e9f07b-52fe-4198-901c-8df2af518a6a 302 ::1 POST /admin/create-user 513.195 [Thu, 21 Oct 2021 14:52:11 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
a33b9e14-250d-41a0-9ab3-7772de2944c7 200 ::1 GET /admin/create-user 53.457 [Thu, 21 Oct 2021 14:52:11 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
